2015 rank,City,State,2010 Census,2014 land area,Location
1,New York,New York,8175133,302.6 sq mi,40.6643°N 73.9385°W
2,Los Angeles,California,3792621,468.7 sq mi,34.0194°N 118.4108°W
3,Chicago,Illinois,2695598,227.6 sq mi,41.8376°N 87.6818°W
4,Houston,Texas,2100263,599.6 sq mi,29.7805°N 95.3863°W
5,Philadelphia,Pennsylvania,1526006,134.1 sq mi,40.0094°N 75.1333°W
6,Phoenix,Arizona,1445632,516.7 sq mi,33.5722°N 112.0880°W
7,San Antonio,Texas,1327407,460.9 sq mi,29.4724°N 98.5251°W
8,San Diego,California,1307402,325.2 sq mi,32.8153°N 117.1350°W
9,Dallas,Texas,1197816,340.5 sq mi,32.7757°N 96.7967°W
10,San Jose,California,945942,176.6 sq mi,37.2969°N 121.8193°W
11,Austin,Texas,790390,322.48 sq mi,30.3072°N 97.7560°W
12,Jacksonville,Florida,821784,747.0 sq mi,30.3370°N 81.6613°W
13,San Francisco,California,805235,46.9 sq mi,37.7751°N 122.4193°W
14,Indianapolis,Indiana,820445,361.4 sq mi,39.7767°N 86.1459°W
15,Columbus,Ohio,787033,217.2 sq mi,39.9848°N 82.9850°W
16,Fort Worth,Texas,741206,339.8 sq mi,32.7795°N 97.3463°W
17,Charlotte,North Carolina,731424,297.7 sq mi,35.2087°N 80.8307°W
18,Seattle,Washington,608660,83.9 sq mi,47.6205°N 122.3509°W
19,Denver,Colorado,600158,153.0 sq mi,39.7618°N 104.8806°W
20,El Paso,Texas,649121,255.2 sq mi,31.8484°N 106.4270°W
21,Detroit,Michigan,713777,138.8 sq mi,42.3830°N 83.1022°W
22,Washington,District of Columbia,601723,61.0 sq mi,38.9041°N 77.0171°W
23,Boston,Massachusetts,617594,48.3 sq mi,42.3320°N 71.0202°W
24,Memphis,Tennessee,646889,315.1 sq mi,35.1035°N 89.9785°W
25,Nashville,Tennessee,601222,475.1 sq mi,36.1718°N 86.7850°W
26,Portland,Oregon,583776,133.4 sq mi,45.5370°N 122.6500°W
27,Oklahoma City,Oklahoma,579999,606.4 sq mi,35.4671°N 97.5137°W
28,Las Vegas,Nevada,583756,135.8 sq mi,36.2277°N 115.2640°W
29,Baltimore,Maryland,620961,80.9 sq mi,39.3002°N 76.6105°W
30,Louisville,Kentucky,597337,325.2 sq mi,38.1781°N 85.6667°W
31,Milwaukee,Wisconsin,594833,96.1 sq mi,43.0633°N 87.9667°W
32,Albuquerque,New Mexico,545852,187.7 sq mi,35.1056°N 106.6474°W
33,Tucson,Arizona,520116,226.7 sq mi,32.1543°N 110.8711°W
34,Fresno,California,494665,113.2 sq mi,36.7827°N 119.7945°W
